Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,송성문,25,8.58,144,7.54,1.04,646,642,574,103,181,37,4,26,304,90,25,2,68,1,5,96,6,0,3,0.315,0.387,0.53,0.917,0.183,164.1,8.58
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,양의지,25,6.79,130,6.6,0.2,517,514,454,56,153,27,1,20,242,89,4,2,50,7,6,63,10,0,6,0.337,0.406,0.533,0.939,0.189,162.8,6.79
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,안현민,25,6.77,112,6.63,0.14,482,478,395,72,132,19,4,22,225,80,7,1,75,9,5,72,4,0,3,0.334,0.448,0.57,1.018,0.226,182.7,6.77
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,김주원,25,6.33,144,6.27,0.06,624,620,539,98,156,26,8,15,243,65,44,11,63,16,1,111,8,4,2,0.289,0.379,0.451,0.83,0.162,131.1,6.33
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,디아즈,25,5.8,144,4.81,0.99,628,621,551,93,173,32,0,50,355,158,1,0,60,6,10,100,15,0,11,0.314,0.381,0.644,1.025,0.205,159.7,5.8
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,김성윤,25,5.5,127,5.12,0.38,538,528,456,92,151,29,9,6,216,61,26,7,65,5,0,54,11,10,2,0.331,0.419,0.474,0.893,0.189,146.2,5.5
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,박성한,25,5.28,127,4.74,0.55,538,536,452,73,124,23,2,7,172,48,5,6,79,3,1,93,6,2,2,0.274,0.384,0.381,0.765,0.149,120.8,5.28
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,이재현,25,5.13,139,4.49,0.63,555,544,457,82,116,29,1,16,195,67,6,1,69,11,1,119,8,10,8,0.254,0.36,0.427,0.787,0.146,113.9,5.13
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,박동원,25,5.12,139,4.8,0.32,523,518,451,57,114,25,0,22,205,76,4,0,62,2,4,124,10,3,5,0.253,0.342,0.455,0.797,0.142,121,5.12
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,노시환,25,4.88,144,4.47,0.41,624,618,539,97,140,28,2,32,268,101,14,5,70,11,10,125,22,0,4,0.26,0.354,0.497,0.851,0.156,129.7,4.88
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,오스틴,25,4.86,116,5.11,-0.25,499,494,425,82,133,25,1,31,253,95,3,0,61,2,7,62,11,0,11,0.313,0.393,0.595,0.988,0.199,171.6,4.86
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,박찬호,25,4.56,134,4.25,0.3,595,587,516,75,148,18,2,5,185,42,27,6,62,3,0,69,7,8,6,0.287,0.363,0.359,0.722,0.127,107.3,4.56
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,박해민,25,4.55,144,3.36,1.19,544,522,442,80,122,18,2,3,153,43,49,14,68,8,0,94,7,22,4,0.276,0.379,0.346,0.725,0.136,115.7,4.55
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,구자욱,25,4.48,142,5.11,-0.63,616,611,529,106,169,43,2,19,273,96,4,1,73,5,7,91,9,1,8,0.319,0.402,0.516,0.918,0.185,143.6,4.48
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,박민우,25,4.38,117,3.72,0.66,468,461,404,64,122,25,8,3,172,67,28,8,44,12,5,64,5,4,4,0.302,0.384,0.426,0.81,0.152,123.3,4.38
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,최형우,25,4.37,133,4.37,-0.01,549,545,469,74,144,30,1,24,248,86,1,0,67,8,8,98,9,0,5,0.307,0.399,0.529,0.928,0.186,157.6,4.37
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,케이브,25,4.3,136,4.02,0.28,593,592,538,72,161,28,6,16,249,87,17,1,43,4,1,116,7,0,8,0.299,0.351,0.463,0.814,0.146,125.4,4.3
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,문보경,25,4.18,141,4.72,-0.53,607,605,515,91,142,21,1,24,237,108,3,1,79,4,3,108,15,0,9,0.276,0.371,0.46,0.831,0.159,135.5,4.18
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,구본혁,25,3.59,131,2.25,1.33,397,384,343,41,98,16,2,1,121,38,10,5,36,6,1,44,4,12,0,0.286,0.364,0.353,0.717,0.125,106,3.59
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,에레디아,25,3.54,96,2.95,0.59,415,412,375,46,127,18,0,13,184,54,1,2,31,7,4,62,9,0,2,0.339,0.398,0.491,0.889,0.173,141,3.54
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,위즈덤,25,3.49,119,3.48,0.02,486,485,424,73,100,20,1,35,227,85,3,0,52,4,2,142,9,0,6,0.236,0.321,0.535,0.856,0.155,131.4,3.49
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,신민재,25,3.49,135,4.18,-0.69,538,532,463,87,145,15,7,1,177,61,15,9,62,3,0,57,7,6,4,0.313,0.395,0.382,0.777,0.151,128.8,3.49
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,김현수,25,3.36,140,3.61,-0.24,552,552,483,66,144,24,0,12,204,90,4,0,64,4,1,73,10,0,1,0.298,0.384,0.422,0.806,0.156,133.1,3.36
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,김형준,25,3.27,127,2.59,0.69,415,412,362,51,84,10,1,18,150,55,3,0,45,3,0,126,7,3,2,0.232,0.32,0.414,0.734,0.124,100.9,3.27
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,최재훈,25,3.23,121,3.45,-0.22,348,338,269,28,77,15,0,1,95,35,1,1,46,17,0,48,4,10,6,0.286,0.414,0.353,0.767,0.156,129.7,3.23
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,레이예스,25,3.21,144,3.63,-0.42,643,627,573,75,187,44,1,13,272,107,7,1,58,3,17,66,25,0,9,0.326,0.386,0.475,0.861,0.156,124.8,3.21
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,윤동희,25,3.14,97,2.57,0.56,399,396,330,54,93,21,1,9,143,53,4,2,49,11,2,65,12,3,6,0.282,0.386,0.433,0.819,0.159,128.9,3.14
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,이주형,25,2.93,127,2.37,0.56,514,510,446,55,107,22,1,11,164,45,15,1,37,28,2,115,7,3,0,0.24,0.337,0.368,0.705,0.115,103.8,2.93
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,오지환,25,2.89,127,2.65,0.24,472,465,419,57,106,24,1,16,180,62,9,7,37,3,0,115,4,7,6,0.253,0.314,0.43,0.744,0.12,101.9,2.89
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,김휘집,25,2.87,142,2.78,0.09,500,498,429,64,107,18,2,17,180,56,10,2,40,27,0,89,9,2,2,0.249,0.349,0.42,0.769,0.138,112.3,2.87
