選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
赤星　優志,22,38,30,1,7,0,0,0,7,2,0,0,5,0,3,0,0,12,0,0.233,0.233,0.303
*秋広　優人,5,8,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.143,0.143,0.25
浅野　翔吾,29,83,75,6,14,4,0,2,24,8,1,0,1,1,4,1,2,17,1,0.187,0.32,0.244
*荒巻　悠,31,61,54,1,16,1,0,1,20,1,0,2,0,0,7,0,0,13,0,0.296,0.37,0.377
石川　達也,41,7,7,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0.286,0.286,0.286
石塚　裕惺,9,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0.111,0.111,0.111
*泉口　友汰,133,573,512,67,154,23,3,6,201,39,4,5,7,3,47,2,4,60,8,0.301,0.393,0.362
泉　圭輔,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*井上　温大,20,30,29,1,2,0,0,0,2,1,0,0,1,0,0,0,0,17,0,0.069,0.069,0.069
*浦田　俊輔,22,60,53,4,11,2,0,0,13,4,0,1,3,0,3,0,1,7,1,0.208,0.245,0.263
オコエ　瑠偉,61,140,126,12,31,4,2,0,39,5,3,3,6,0,7,1,1,29,1,0.246,0.31,0.291
*大城　卓三,56,99,91,6,17,3,0,3,29,10,0,0,0,1,6,1,1,27,4,0.187,0.319,0.242
*岡田　悠希,11,19,18,1,3,1,0,0,4,2,0,0,0,0,1,0,0,10,0,0.167,0.222,0.211
岡本　和真,69,293,251,38,82,21,1,15,150,49,1,1,0,2,33,2,7,33,5,0.327,0.598,0.416
*乙坂　智,5,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0.2,0.4,0.2
甲斐　拓也,68,250,223,17,58,4,0,4,74,20,3,1,2,2,23,5,0,58,8,0.26,0.332,0.327
*門脇　誠,81,176,157,14,35,6,1,0,43,4,6,1,8,0,10,0,1,32,2,0.223,0.274,0.274
*キャベッジ,123,476,431,50,115,26,1,17,194,51,5,3,1,2,37,3,5,144,4,0.267,0.45,0.331
*菊地　大稀,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岸田　行倫,87,299,266,25,78,9,0,8,111,39,0,1,6,1,25,2,1,44,4,0.293,0.417,0.355
*グリフィン,14,23,19,0,3,0,0,0,3,0,0,0,3,0,1,0,0,6,0,0.158,0.158,0.2
ケラー,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
郡　拓也,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小林　誠司,14,26,21,2,3,1,0,0,4,1,0,0,2,0,3,0,0,8,1,0.143,0.19,0.25
坂本　勇人,62,173,154,7,32,10,0,3,51,22,0,0,0,4,14,1,1,40,6,0.208,0.331,0.272
*佐々木　俊輔,53,161,141,14,35,4,1,0,41,10,1,4,10,0,10,0,0,34,2,0.248,0.291,0.298
笹原　操希,13,22,20,1,2,0,0,0,2,0,0,0,0,0,2,0,0,7,0,0.1,0.1,0.182
*重信　慎之介,10,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0.333,0.333,0.333
鈴木　大和,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大勢,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*高梨　雄平,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*田中　瑛斗,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
田中　将大,10,14,13,1,2,1,0,0,3,0,0,0,1,0,0,0,0,9,0,0.154,0.231,0.154
長野　久義,17,24,22,1,3,0,0,0,3,0,0,0,0,0,2,0,0,8,0,0.136,0.136,0.208
戸郷　翔征,21,35,28,1,3,0,0,0,3,0,0,0,7,0,0,0,0,14,0,0.107,0.107,0.107
戸田　懐生,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*中川　皓太,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*中山　礼都,103,312,287,35,76,13,0,7,110,32,1,2,2,0,20,1,3,42,6,0.265,0.383,0.319
西舘　勇陽,15,10,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
*バルドナード,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萩尾　匡也,9,25,23,0,4,0,0,0,4,0,1,0,1,0,1,1,0,5,0,0.174,0.174,0.208
馬場　皐輔,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フルプ,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
*船迫　大雅,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヘルナンデス,52,171,152,14,32,8,0,2,46,8,0,3,0,0,18,1,1,34,5,0.211,0.303,0.298
平内　龍太,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
堀田　賢慎,8,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0.4,0.4,0.4
*マルティネス,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
増田　大輝,53,25,22,5,3,1,0,0,4,0,3,2,3,0,0,0,0,7,0,0.136,0.182,0.136
増田　陸,87,286,264,22,61,10,0,5,86,21,0,3,3,3,13,1,3,62,4,0.231,0.326,0.272
*又木　鉄平,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
*丸　佳浩,90,369,326,30,87,19,3,6,130,26,5,4,1,2,40,5,0,57,5,0.267,0.399,0.345
*三塚　琉生,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
*宮原　駿介,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*森田　駿哉,9,12,9,0,1,0,0,0,1,0,0,0,2,0,1,0,0,5,1,0.111,0.111,0.2
*山﨑　伊織,25,49,46,2,6,2,0,0,8,3,0,0,2,0,1,0,0,18,1,0.13,0.174,0.149
山瀬　慎之助,1,4,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25
*山田　龍聖,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湯浅　大,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*横川　凱,25,14,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0
*吉川　尚輝,107,455,404,33,112,15,3,3,142,32,8,3,2,3,41,0,5,63,7,0.277,0.351,0.349
リチャード,77,253,232,17,49,7,0,11,89,39,1,0,0,2,13,0,6,90,4,0.211,0.384,0.269
若林　楽人,86,241,216,30,52,10,2,3,75,16,9,1,4,1,15,0,5,40,0,0.241,0.347,0.304
石井　大智,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石黒　佑弥,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井坪　陽生,6,18,18,1,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0.167,0.167,0.167
*伊藤　将司,14,31,27,1,2,0,0,0,2,1,0,0,4,0,0,0,0,14,3,0.074,0.074,0.074
*糸原　健斗,61,75,69,0,14,0,0,0,14,4,1,0,0,1,5,1,0,16,1,0.203,0.203,0.253
井上　広大,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
*伊原　陵人,28,27,25,0,4,0,0,0,4,0,0,0,2,0,0,0,0,5,1,0.16,0.16,0.16
茨木　秀俊,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*岩貞　祐太,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*岩崎　優,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#NAME?,42,19,17,10,1,1,0,0,2,1,4,1,0,0,2,0,0,9,0,0.059,0.118,0.158
梅野　隆太郎,52,132,118,7,26,4,0,0,30,2,2,3,6,0,7,4,1,29,2,0.22,0.254,0.27
*漆原　大晟,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*大竹　耕太郎,16,35,30,1,5,0,0,0,5,2,0,0,4,0,1,0,0,14,0,0.167,0.167,0.194
大山　悠輔,141,587,503,52,133,25,1,13,199,75,6,3,0,4,74,7,6,96,16,0.264,0.396,0.363
岡留　英貴,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小野寺　暖,19,30,29,3,7,1,0,0,8,0,0,0,0,0,1,0,0,9,0,0.241,0.276,0.267
*小幡　竜平,89,297,265,23,59,8,0,5,82,17,6,2,10,3,18,3,1,64,5,0.223,0.309,0.272
*及川　雅貴,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*木浪　聖也,72,203,181,12,35,8,2,0,47,15,1,1,7,0,12,2,3,48,1,0.193,0.26,0.255
木下　里都,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*桐敷　拓馬,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*楠本　泰史,16,16,15,0,2,1,0,0,3,1,0,0,0,0,1,0,0,6,0,0.133,0.2,0.188
*工藤　泰成,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊谷　敬宥,85,170,156,22,35,2,3,1,46,18,6,4,8,0,5,0,1,33,5,0.224,0.295,0.253
*ゲラ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
才木　浩人,24,54,45,1,2,0,0,0,2,1,0,0,7,0,2,0,0,25,1,0.044,0.044,0.085
榮枝　裕貴,8,9,9,1,2,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0.222,0.222,0.222
坂本　誠志郎,117,414,340,21,84,19,1,2,111,27,2,2,16,0,53,6,5,91,6,0.247,0.326,0.357
*佐藤　輝明,139,597,537,83,149,34,4,40,311,102,10,2,0,3,57,9,0,163,5,0.277,0.579,0.345
椎葉　剛,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*島田　海吏,28,35,31,2,4,0,0,0,4,0,1,2,3,0,1,0,0,1,0,0.129,0.129,0.156
*島本　浩也,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*髙寺　望夢,67,160,134,10,31,4,0,2,41,7,4,1,6,1,18,1,1,37,1,0.231,0.306,0.325
*髙橋　遥人,8,15,13,2,1,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0.077,0.077,0.077
*近本　光司,140,638,573,76,160,25,4,3,202,34,32,9,0,3,60,1,2,88,3,0.279,0.353,0.348
*デュプランティエ,15,28,26,0,1,0,0,0,1,0,0,0,2,0,0,0,0,16,0,0.038,0.038,0.038
ドリス,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*富田　蓮,9,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
豊田　寛,33,61,56,2,13,4,0,0,17,4,0,0,0,1,4,0,0,16,3,0.232,0.304,0.279
中川　勇斗,25,59,56,3,15,1,0,2,22,2,0,0,1,0,2,0,0,16,2,0.268,0.393,0.293
*中野　拓夢,143,625,531,65,150,18,3,0,174,30,19,7,44,3,44,1,3,77,5,0.282,0.328,0.339
長坂　拳弥,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
西　勇輝,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ネルソン,23,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.2
ハートウィグ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*畠　世周,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早川　太貴,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
原口　文仁,16,17,16,1,1,0,0,0,1,2,0,0,0,0,1,1,0,5,2,0.063,0.063,0.118
ビーズリー,8,12,9,0,1,0,0,0,1,1,0,0,3,0,0,0,0,5,0,0.111,0.111,0.111
ヘルナンデス,47,101,96,3,22,3,0,1,28,8,0,0,0,1,4,0,0,26,6,0.229,0.292,0.257
*前川　右京,69,209,195,11,48,10,1,1,63,15,0,1,0,0,8,2,6,30,2,0.246,0.323,0.297
*村上　頌樹,26,61,53,0,4,0,0,0,4,0,0,0,7,0,1,0,0,31,1,0.075,0.075,0.093
森下　翔太,143,620,549,82,151,24,5,23,254,89,5,2,0,5,54,4,12,86,15,0.275,0.463,0.35
*門別　啓人,12,13,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
湯浅　京己,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渡邉　諒,22,24,19,0,3,0,0,0,3,1,0,0,0,0,5,1,0,8,1,0.158,0.158,0.333
*東　克樹,24,53,38,3,7,1,0,0,8,4,0,0,11,0,4,0,0,13,0,0.184,0.211,0.262
東妻　純平,4,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0.167,0.167,0.167
*石上　泰輝,73,158,141,15,34,9,0,2,49,16,3,2,2,0,14,2,1,42,2,0.241,0.348,0.314
石田　裕太郎,21,26,23,1,2,0,0,0,2,2,0,0,2,0,1,0,0,8,0,0.087,0.087,0.125
伊勢　大夢,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伊藤　光,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
*井上　絢登,12,31,29,2,5,0,0,2,11,7,0,0,0,1,1,0,0,6,0,0.172,0.379,0.194
入江　大生,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
