Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,폰세,25,8.38,29,29,0,0,0,0,17,1,0,0,180.2,38,41,38.6,697,128,18,0,10,41,6,0,252,3,3,7,1.89,2.04,1.92,2,1.92,0.94,8.38
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,후라도,25,7.57,30,30,0,3,3,2,15,8,0,0,197.1,57,65,64.5,786,177,17,3,17,36,4,0,142,5,0,3,2.6,2.96,2.94,2.67,3.79,1.08,7.57
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,네일,25,6.59,27,27,0,0,0,0,8,4,0,0,164.1,41,46,45.3,664,135,18,1,6,41,15,0,152,9,0,4,2.25,2.52,2.48,2.51,3.13,1.07,6.59
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,앤더슨,25,6.54,30,30,0,0,0,0,12,7,0,0,171.2,43,53,51.1,694,121,17,1,13,51,9,1,245,6,0,10,2.25,2.78,2.68,2.64,2.37,1,6.54
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,와이스,25,5.95,30,30,0,0,0,0,16,5,0,0,178.2,57,63,62.3,725,127,30,1,13,56,13,0,207,7,2,5,2.87,3.17,3.14,3.07,3.12,1.02,5.95
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,잭로그,25,5.34,30,29,1,0,0,0,10,8,0,1,176,55,66,63.55,722,146,25,4,8,39,17,0,156,15,0,4,2.81,3.38,3.25,3.37,3.26,1.05,5.34
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,치리노스,25,5.21,30,30,0,0,0,0,13,6,0,0,177,65,71,65.5,737,173,26,1,5,36,9,0,137,5,0,4,3.31,3.61,3.33,3.45,3.13,1.18,5.21
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,원태인,25,4.91,27,27,0,0,0,0,12,4,0,0,166.2,60,66,65,671,157,32,2,20,27,6,1,108,6,0,1,3.24,3.56,3.51,3.43,4.36,1.1,4.91
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,임찬규,25,4.9,27,27,0,1,1,1,11,7,0,0,160.1,54,61,57.25,670,163,38,3,9,40,6,1,107,8,0,1,3.03,3.42,3.21,3.35,3.82,1.27,4.9
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,라일리,25,4.34,30,30,0,0,0,0,17,7,0,0,172,66,76,72.9,709,136,25,2,18,56,3,0,216,15,0,5,3.45,3.98,3.81,3.78,3.12,1.12,4.34
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,화이트,25,4.24,24,24,0,1,1,0,11,4,0,0,134.2,43,51,49.45,562,111,17,2,9,44,8,1,137,11,0,6,2.87,3.41,3.3,3.2,3.38,1.15,4.24
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,고영표,25,4.17,29,26,3,2,1,1,11,8,0,0,161,59,70,68.3,685,170,31,2,10,30,15,2,154,10,1,4,3.3,3.91,3.82,3.65,3.14,1.24,4.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,류현진,25,4.03,26,26,0,0,0,0,9,7,0,0,139.1,50,54,53.5,574,144,22,3,12,25,4,2,122,4,0,2,3.23,3.49,3.46,3.46,3.37,1.21,4.03
