選手,登板,勝利,敗北,セーブ,ホールド,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点,防御率
赤星　優志,22,6,9,0,0,0,1,1,1,0.4,488,121,110,12,19,3,5,88,0,0,42,36,2.68
*石川　達也,41,5,4,0,3,7,0,0,0,0.556,247,59,54,2,19,2,1,46,1,0,16,14,2.14
泉　圭輔,10,0,0,0,0,0,0,0,0,0,59,12.1,14,2,6,0,2,12,1,0,9,8,5.84
*井上　温大,20,4,8,0,0,0,0,0,0,0.333,453,107,115,15,19,1,2,100,0,0,48,44,3.7
菊地　大稀,7,1,1,0,0,1,0,0,0,0.5,41,10,7,1,4,1,0,16,0,0,3,2,1.8
*グリフィン,14,6,1,0,0,0,0,0,0,0.857,307,78,56,1,18,2,5,77,1,0,15,14,1.62
ケラー,45,1,1,0,6,7,0,0,0,0.5,186,46.1,27,5,22,1,0,49,0,0,16,16,3.11
大勢,62,8,4,1,46,54,0,0,0,0.667,244,59.2,47,4,14,4,4,60,3,0,14,14,2.11
*高梨　雄平,21,0,1,0,5,5,0,0,0,0,74,15,14,0,14,3,3,16,0,1,6,6,3.6
田中　瑛斗,62,1,3,0,36,37,0,0,0,0.25,208,50.2,45,3,20,9,2,38,0,0,13,12,2.13
田中　将大,10,3,4,0,0,0,0,0,0,0.429,209,45,53,4,21,2,1,29,1,0,30,25,5
戸郷　翔征,21,8,9,0,0,1,0,0,0,0.471,497,111,124,8,46,1,2,87,2,0,58,51,4.14
戸田　懐生,2,0,1,0,0,0,0,0,0,0,12,2.2,3,0,1,1,0,0,0,0,1,1,3.38
*中川　皓太,63,2,4,0,36,38,0,0,0,0.333,225,52.1,55,4,12,2,3,57,0,0,16,13,2.24
西舘　勇陽,15,2,3,0,1,1,0,0,0,0.4,228,53.1,58,6,11,1,2,45,1,0,26,25,4.22
*バルドナード,19,1,0,0,6,7,0,0,0,1,58,13.2,8,0,10,0,0,13,1,0,5,5,3.29
馬場　皐輔,8,0,0,0,0,0,0,0,0,0,32,7.1,6,0,4,0,0,5,1,0,4,3,3.68
船迫　大雅,57,2,3,0,17,19,0,0,0,0.4,190,48,34,8,14,5,2,43,0,0,15,15,2.81
平内　龍太,12,1,1,0,1,2,0,0,0,0.5,63,15.2,18,1,1,0,0,9,0,0,10,10,5.74
堀田　賢慎,8,0,1,0,0,0,0,0,0,0,99,22.1,23,4,11,0,1,13,0,0,13,13,5.24
マルティネス,58,3,2,46,3,6,0,0,0,0.6,211,56.2,32,3,11,3,0,65,1,0,7,7,1.11
*又木　鉄平,5,0,1,0,0,0,0,0,0,0,58,13.1,16,1,2,1,1,8,1,0,7,7,4.73
*宮原　駿介,14,0,0,0,2,2,0,0,0,0,59,14.2,12,2,4,1,0,14,0,0,6,6,3.68
*森田　駿哉,9,3,4,0,0,0,0,0,0,0.429,162,37.2,35,4,14,2,1,25,1,0,19,15,3.58
山﨑　伊織,25,11,4,0,0,0,1,0,0,0.733,625,156.1,124,9,36,6,6,131,4,0,40,36,2.07
*山田　龍聖,2,0,0,0,0,0,0,0,0,0,15,4,3,1,1,0,1,1,0,0,2,2,4.5
*横川　凱,25,2,0,0,1,1,0,0,0,1,269,66,63,5,16,0,3,41,0,1,20,19,2.59
石井　大智,53,1,0,9,36,37,0,0,0,1,199,53,37,0,7,2,1,42,2,0,1,1,0.17
石黒　佑弥,8,0,0,0,1,1,0,0,0,0,33,8,9,1,2,0,0,7,0,0,4,4,4.5
*伊藤　将司,14,4,3,0,0,0,1,1,0,0.571,348,88,78,8,12,3,0,49,1,0,31,30,3.07
*伊原　陵人,28,5,7,0,1,1,0,0,0,0.417,448,110,95,4,25,2,2,81,1,1,36,28,2.29
茨木　秀俊,2,0,0,0,0,0,0,0,0,0,11,2.2,1,0,1,0,0,1,0,0,0,0,0
*岩貞　祐太,29,3,1,0,4,7,0,0,0,0.75,123,29.2,30,1,7,0,0,22,1,0,7,7,2.12
*岩崎　優,53,1,3,31,8,9,0,0,0,0.25,211,51.1,49,1,13,2,0,40,0,0,15,12,2.1
漆原　大晟,11,0,0,0,2,2,0,0,0,0,43,11.2,5,0,5,1,0,9,1,0,0,0,0
*大竹　耕太郎,16,9,4,0,0,0,1,1,0,0.692,388,98,87,5,7,1,8,48,1,0,31,31,2.85
岡留　英貴,10,1,0,0,3,4,0,0,0,1,38,9.1,7,1,3,1,0,2,0,0,2,2,1.93
*及川　雅貴,66,6,3,1,46,52,0,0,0,0.667,237,62,34,2,17,3,2,66,1,1,8,6,0.87
木下　里都,11,0,0,0,1,1,0,0,0,0,59,13.2,18,0,2,1,0,12,1,0,7,5,3.29
*桐敷　拓馬,43,2,1,1,13,15,0,0,0,0.667,166,38,45,0,7,2,2,35,0,0,13,12,2.84
工藤　泰成,18,0,2,0,1,1,0,0,0,0,72,16.1,12,0,13,0,1,16,2,0,7,6,3.31
ゲラ,6,0,1,0,1,1,0,0,0,0,29,4.2,10,0,5,0,0,4,0,0,7,7,13.5
才木　浩人,24,12,6,0,0,0,3,2,2,0.667,636,157,123,6,44,3,1,122,1,0,29,27,1.55
椎葉　剛,3,0,0,0,0,0,0,0,0,0,13,3,2,0,2,0,0,1,0,0,0,0,0
*島本　浩也,16,2,1,0,2,4,0,0,0,0.667,56,14.1,12,1,3,1,1,6,0,0,3,3,1.88
